Model,mu1,sigma1,xi1,mu2,sigma2,xi2,mu3,sigma3,xi3,p,s
Spalding,3.0730057845987915,2.8861718472565396,0.28879569232312985,2.5768003413379397,0.9654606015123155,-0.14754246050126274,2.6233574364035204,1.8670596679308036,-1.2902908023069848,1.1419044551086606,400.0
Reichardt,2.299889894686592,0.7189578329168376,0.09376457131237433,2.0506459102631402,1.7512292069773472,-0.1,3.6902458486110015,1.5791834452923235,-0.014013654415163371,1.2331111767246308,130.88145905784003
EqODE,2.7121614342386815,1.1532413068575644,0.04253945088264557,2.7855414000226064,3.161457896329763,0.1373128258110503,2.547403128527722,0.6124517990961322,0.012275862731439506,1.202922467164923,247.07243717545282
