Model,mu1,sigma1,xi1,mu2,sigma2,xi2,mu3,sigma3,xi3,p,s
Spalding,3.083144776899879,2.3,-0.0920125960200153,2.3620203625813185,2.2980199112722306,-0.3259254756466226,2.984943836712149,0.5678593147326387,0.02497882079353379,1.1768259126520666,200.00359886868156
Reichardt,1.0,0.6216539487694792,-0.00242503854759671,2.36726646123927,2.4404023830832475,0.12136125550974093,2.39740360910074,0.845997638608805,0.08281248925168709,1.249044035287054,131.58354616250082
EqODE,2.747578586422064,2.9863285168308957,0.1415844552182121,3.217230012188327,0.5812144435135936,0.053146557362683394,4.155556480918588,0.9457259058226094,-0.03125627230225794,1.1907235030601842,218.72483710178764
